,tier,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak,account_id
1626,MASTER,bzTwrUtAHjHKeyAb8mSD0Hrcc2g-W6Q9z3EuULWwAzXPgRc,니고립이제일아파,0,569,536,False,False,True,False,D2VUBYzIu9ukLDtvKf-2FkxlOnmQ2jrKi0_-68w4mTsW8TA
1627,MASTER,L3NCN-daXlhFNntcQkFGnW0JE0hsRU4FMR6nymVuCq9KGZw,즈 피,0,160,89,False,False,False,False,hXwGx6f4BgfdKSW4QPMragsJJ-XCXoZI9lA8_UTn5v1mXTuh8wiU1kZ9
1628,MASTER,wyku3XfCVIdCN4WQSlaeil6I2f2aF1f0R9gHIqRza5Agcg,수원솜사탕주먹,139,322,206,False,False,False,False,IFzfWcIpODxM4jktVIAGmb0wYDbE_ZsfBNzUZASHYKPQ
1629,MASTER,HKgM3tcDiI1brk_MM9SB00AovFH80uVQhipHMckNXeAANw,wuwuwu biemawo,114,412,366,False,False,True,False,Sydn24Qt_LRN91I4Dr3LOzK15tY3IPF4UUX8pQx0tmls
1630,MASTER,D39isyL0OqcPF9NFvPV-qDgeLjwUyB2GX0xSgFQRKMkgrQ,닿는 그날까지,0,482,466,False,False,True,True,b1_l-MoFmoa2NYDxbR-hyTBssCLJsHGZWhAZlLPTrou7
1631,MASTER,7lM5WBHFwq2mQaQCXYhN-K4oBKiqtQ0PRfUTi1FWFzHg98Q,김재윤 fan,0,220,172,False,False,True,True,sj4EbJWbgokzWS2f4vP7GlGfAOTEHXLoTyaGP2-Q5t90VPo
1632,MASTER,0nbImRLmptqwcesx912zFaMqRctoTe2YaVdQwmXkNEgivug,하루 200점씩up,167,1463,1505,False,False,True,False,f3ZSYukqloqn9nwUbspZQZsT3lOVNG79krdEnBxu2K0qgbs
1633,MASTER,1wsE41r1eyHTsi1ewiGT5KIWAngRW6QnQl0q6OAZA54EQQ,LeonaMaestro,15,90,66,False,False,True,True,yP_PfGbemmjUf3KvKDKJTd6efq5dofTy3AeGYBULbxCW
1634,MASTER,fcxWzxyyFLSkWYf6nfDLpNgYWo72TsEaSUC6belaGq-6ouQ,Heimish Lenka,0,169,170,False,False,True,True,Tlx9aeYeswHqilccwjTUhuZvS6S_rqLKpnsxapcurRaw_s1Hp4eiWPM_
1635,MASTER,nMzDG6I-NNLdGh8MPF432g-uxO3PCsARbwFKn3egynGouWI,gasagiao,192,1849,1857,False,False,False,False,Z9xkJNdsS12XKSOjZp3P-9OOFocsRkOSfyNaA5SYe0wFHwg
1636,MASTER,V_OYZdRdyPNT2bdFb9dn0M7mC-cRTGH-sjQwuski4Or2Z85k,Shuiyuanqianhe,134,298,223,False,False,False,False,Xrj3APn-LjVawTq-uSUvAN3bZJ1fibcm3P5m_0cwNpMzWf9rsklQdMq4
