,gameId,teamId,champ_WR_dif,user_champ_WR,top_tier,jug_tier,mid_tier,carry_tier,support_tier,c_top_tier,c_jug_tier,c_mid_tier,c_carry_tier,c_support_tier,slayer,tank,fighter,mage,marksman,controller,c_slayer,c_tank,c_fighter,c_mage,c_marksman,c_controller,match_cnt,win
0,4731818854,100,0.0036999999999999924,55.2,1.0,3.0,2.0,1.0,4.0,2.0,3.0,2.0,3.0,2.0,1.0,1.0,1.0,0.0,2.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,90.0,False
0,4731835508,100,0.01821999999999998,55.6,2.0,3.0,2.0,1.0,4.0,3.0,2.0,3.0,4.0,1.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,96.6,True
0,4731837502,100,0.02183999999999998,58.4,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,5.0,5.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,88.8,False
0,4731952324,200,0.02859999999999998,52.8,1.0,2.0,2.0,4.0,4.0,5.0,4.0,3.0,3.0,2.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,71.8,False
0,4732140501,200,0.005859999999999988,54.6,2.0,2.0,3.0,2.0,1.0,3.0,2.0,3.0,1.0,3.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,271.6,False
0,4732163278,100,-0.018499999999999996,58.6,4.0,3.0,2.0,6.0,3.0,2.0,1.0,6.0,2.0,1.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,2.0,2.0,0.0,1.0,0.0,44.4,True
0,4732185786,200,0.0048999999999999825,59.6,2.0,3.0,1.0,4.0,2.0,1.0,3.0,4.0,2.0,5.0,1.0,1.0,2.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,80.6,True
0,4732204303,200,-0.013000000000000012,55.6,1.0,3.0,2.0,1.0,2.0,5.0,3.0,3.0,4.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,152.6,True
0,4732206253,100,-0.02894000000000002,55.6,1.0,3.0,3.0,4.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,141.8,True
0,4732293163,100,0.002840000000000009,56.4,2.0,2.0,1.0,2.0,5.0,2.0,3.0,3.0,4.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,137.6,False
0,4732295587,100,0.015479999999999983,48.8,2.0,2.0,3.0,6.0,1.0,2.0,1.0,1.0,2.0,2.0,0.0,0.0,4.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,264.4,True
0,4732306842,100,-0.008100000000000007,59.8,4.0,2.0,1.0,6.0,5.0,6.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,270.6,True
0,4732346941,100,-0.02450000000000001,51.0,2.0,2.0,3.0,5.0,3.0,2.0,2.0,2.0,1.0,5.0,0.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,259.8,False
0,4732372782,200,-0.007320000000000016,50.4,6.0,1.0,2.0,1.0,1.0,4.0,4.0,2.0,5.0,5.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,1.0,1.0,1.0,179.4,False
0,4732378397,200,0.0005999999999999784,59.4,2.0,5.0,4.0,2.0,3.0,1.0,6.0,4.0,2.0,5.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,218.6,True
0,4732458612,200,0.020599999999999962,58.2,5.0,3.0,2.0,4.0,1.0,1.0,1.0,3.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,2.0,0.0,26.6,True
0,4732466070,200,0.006219999999999981,58.2,1.0,3.0,4.0,2.0,5.0,2.0,1.0,3.0,3.0,2.0,1.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,150.4,True
0,4732481038,100,-0.014400000000000013,68.8,2.0,3.0,3.0,1.0,2.0,6.0,3.0,6.0,2.0,2.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,34.6,True
0,4732497101,100,-0.01529999999999997,56.0,2.0,2.0,2.0,2.0,5.0,3.0,4.0,2.0,1.0,2.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,82.4,True
